"papà","père",4,"Papà, che significa?","Papa, qu'est-ce que ça veut dire ?"
"accanto","à côté",3,"Ha insistito che fossi accanto a lui nel quadro,","Il a insisté pour que j'étais à côté de lui sur la photo,"
"rubato","volé",3,"- Tuo padre non l'ha salvato. L'ha rubato. - È una bugia!","- Votre père ne l'a pas sauvé. Il l'a volé. - C'est un mensonge!"
"basta","assez",3,"Cos'è, un indovinello? Fallo e basta!","Qu'est-ce que c'est, une devinette ? Fais-le c'est tout!"
"qualunque","quoi qu'il en soit",3,"Sono pronto a fare qualunque cosa per proteggere il re. Qualunque cosa.","Je suis prêt à tout pour protéger le roi. Rien."
"migliore","améliorer",3,"migliore di chiunque altro, al di sopra delle leggi del regno.","mieux que quiconque, au-dessus des lois du royaume."
"regno","Royaume",3,"migliore di chiunque altro, al di sopra delle leggi del regno.","mieux que quiconque, au-dessus des lois du royaume."
"ogni","Tout va bien",2,"Possono penetrare ogni difesa. Nulla, nei cinque regni, può fermarli.","Ils peuvent pénétrer n'importe quelle défense. Rien dans les cinq royaumes ne peut les arrêter."
"regina","Reine",2,"con un messaggio fiocco di sangue alla regina dei draghi.","avec un message de flocon de sang à la reine dragon."
"migliori","meilleur",2,"Chi dà i migliori baci da uccello? Pip!","Qui donne les meilleurs bisous d'oiseau ? Pépin!"
"incantesimo","sortilège",2,"Non capisco. L'incantesimo gli salverebbe la vita.","Je ne comprends pas. Le sort lui sauverait la vie."
"uomo","homme",2,"Re Harrow è un uomo di principio.","King Harrow est un homme de principe."
"parli","vous parlez",2,"- Intendi dire cocciuto. - Bada a come parli.","- Tu veux dire têtu. - Regardez comment vous parlez."
"fossi","vous étiez",2,"Ha insistito che fossi accanto a lui nel quadro,","Il a insisté pour que j'étais à côté de lui sur la photo,"
"salvato","enregistré",2,"Perché mio padre l'ha salvato.","Parce que mon père l'a sauvé."
"usarlo","utilise le",2,"in modo che gli elfi non potessero usarlo.","de sorte que les elfes ne pouvaient pas l'utiliser."
"potremmo","nous pourrions",2,"Di che parli? Come potremmo usarlo?","Qu'est-ce que tu racontes? Comment pourrions-nous l'utiliser ?"
"arma","arme",2,"Non fare l'ingenua. Sai che è un'arma potente.","Ne soyez pas naïf. Vous savez que c'est une arme puissante."
"spero","Je espère",2,"- Callum, che stai facendo? - La cosa giusta. Spero.","- Callum, qu'est-ce que tu fais ? - La bonne chose. Je espère."
"spade","épées",2,"Non posso fermarli. Sono solo fumo. Le mie spade gli passano attraverso.","Je ne peux pas les arrêter. Je ne suis que de la fumée. Mes épées les traversent."
"cos","donc",2,"Cos'è, un indovinello? Fallo e basta!","Qu'est-ce que c'est, une devinette ? Fais-le c'est tout!"
"capirai","tu comprendras",2,"Spero che capirai.","J'espère que vous comprendrez."
"ascolta","écoute",2,"Ascolta, devi darmi l'uovo. Devo portarlo sul tetto subito.","Écoute, tu dois me donner l'œuf. Je dois le monter sur le toit maintenant."
"portarlo","l'élever",2,"Ascolta, devi darmi l'uovo. Devo portarlo sul tetto subito.","Écoute, tu dois me donner l'œuf. Je dois le monter sur le toit maintenant."
"tetto","toit",2,"Ascolta, devi darmi l'uovo. Devo portarlo sul tetto subito.","Écoute, tu dois me donner l'œuf. Je dois le monter sur le toit maintenant."
"dato","donné",2,"Ah, certo. Ha senso, dato che ci conosciamo da così tanto.","Oh, bien sûr. C'est logique, puisque nous nous connaissons depuis si longtemps."
"penso","je pense",2,"Penso a te...","Je pense à vous..."
"fratello","frère",2,"...come mio fratello.","...comme mon frère."
"chiunque","quiconque",2,"migliore di chiunque altro al di sopra delle leggi del regno.","mieux que quiconque au-dessus des lois du royaume."
"altezza","la taille",2,"Che ne pensi di: No, vostra altezza. Anzi, proviamo","Que diriez-vous, Non, Votre Altesse. En effet, essayons"
"cambiare","monnaie",2,""Sì, vostra altezza, tanto per cambiare.",""Oui, Votre Altesse, pour changer."
"vostra","ton",2,"Sei sicuro di non preferire Vostra altezza reale?","Êtes-vous sûr de ne pas préférer Votre Altesse Royale ?"
"sarebbe","serait",2,"E dove sarebbe esattamente il mio posto?","Et où serait exactement ma place ?"
"servitore","serviteur",2,"Sei un servitore del regno di Katolis.","Vous êtes un serviteur du royaume de Katolis."
"annullare","annuler",2,"Runaan, devi annullare la missione.","Runaan, vous devez annuler la mission."
"sciocca","bête",2,"- Sei una sciocca, Rayla. - Non è una sciocca.","- Tu es idiote, Rayla. - Elle n'est pas idiote."
"dice","Il dit",2,"Quel che dice è vero.","Ce qu'il dit est vrai."
"possiamo","Nous pouvons",2,"Come possiamo vendicarci di un atto mai accaduto?","Comment se venger d'un acte qui n'a jamais eu lieu ?"
"verrà","ça viendra",2,"La giustizia non verrà negata. Ora, dammi l'uovo.","La justice ne sera pas refusée. Maintenant, donne-moi l'œuf."
"parlo","je parle",2,"- Hai 20 anni di addestramento in più. - Non parlo delle tue capacità.","- Vous avez encore 20 ans de formation. - Je ne parle pas de vos compétences."
"dov","où",2,"- Dov'è l'uovo? - Chiamerò aiuto. Urlerò.","- Oů est l'oeuf ? - Je vais appeler à l'aide. je vais crier."
"torre","la tour",2,"- Dov'è tuo fratello? - È alla torre per vedere nostro padre.","- Où est ton frère? - Il est à la tour pour voir notre père."
